stem,filename,label,tissue,local_cluster_label,group_id
colonca3777,colonca3777.jpeg,colon_aca,colon,3,3
colonca4024,colonca4024.jpeg,colon_aca,colon,3,3
colonca4423,colonca4423.jpeg,colon_aca,colon,3,3
colonca4594,colonca4594.jpeg,colon_aca,colon,3,3
colonca4655,colonca4655.jpeg,colon_aca,colon,3,3
colonca4780,colonca4780.jpeg,colon_aca,colon,3,3
colonca4842,colonca4842.jpeg,colon_aca,colon,3,3
colonca4899,colonca4899.jpeg,colon_aca,colon,3,3
colonca645,colonca645.jpeg,colon_aca,colon,3,3
colonca775,colonca775.jpeg,colon_aca,colon,3,3
colonca942,colonca942.jpeg,colon_aca,colon,3,3
colonca1030,colonca1030.jpeg,colon_aca,colon,4,4
colonca1381,colonca1381.jpeg,colon_aca,colon,4,4
colonca1625,colonca1625.jpeg,colon_aca,colon,4,4
colonca2038,colonca2038.jpeg,colon_aca,colon,4,4
colonca2100,colonca2100.jpeg,colon_aca,colon,4,4
colonca2213,colonca2213.jpeg,colon_aca,colon,4,4
colonca2326,colonca2326.jpeg,colon_aca,colon,4,4
colonca2393,colonca2393.jpeg,colon_aca,colon,4,4
colonca2565,colonca2565.jpeg,colon_aca,colon,4,4
colonca2627,colonca2627.jpeg,colon_aca,colon,4,4
colonca2807,colonca2807.jpeg,colon_aca,colon,4,4
colonca2980,colonca2980.jpeg,colon_aca,colon,4,4
colonca3040,colonca3040.jpeg,colon_aca,colon,4,4
colonca3332,colonca3332.jpeg,colon_aca,colon,4,4
colonca3333,colonca3333.jpeg,colon_aca,colon,4,4
colonca3451,colonca3451.jpeg,colon_aca,colon,4,4
colonca3452,colonca3452.jpeg,colon_aca,colon,4,4
colonca3806,colonca3806.jpeg,colon_aca,colon,4,4
colonca4209,colonca4209.jpeg,colon_aca,colon,4,4
colonca4278,colonca4278.jpeg,colon_aca,colon,4,4
colonca4279,colonca4279.jpeg,colon_aca,colon,4,4
colonca4457,colonca4457.jpeg,colon_aca,colon,4,4
colonca4682,colonca4682.jpeg,colon_aca,colon,4,4
colonca672,colonca672.jpeg,colon_aca,colon,4,4
colonca741,colonca741.jpeg,colon_aca,colon,4,4
colonca1206,colonca1206.jpeg,colon_aca,colon,5,5
colonca191,colonca191.jpeg,colon_aca,colon,5,5
colonca1914,colonca1914.jpeg,colon_aca,colon,5,5
colonca2039,colonca2039.jpeg,colon_aca,colon,5,5
colonca2628,colonca2628.jpeg,colon_aca,colon,5,5
colonca2745,colonca2745.jpeg,colon_aca,colon,5,5
colonca3389,colonca3389.jpeg,colon_aca,colon,5,5
colonca378,colonca378.jpeg,colon_aca,colon,5,5
colonca487,colonca487.jpeg,colon_aca,colon,5,5
colonca556,colonca556.jpeg,colon_aca,colon,5,5
colonca611,colonca611.jpeg,colon_aca,colon,5,5
colonca673,colonca673.jpeg,colon_aca,colon,5,5
colonca1005,colonca1005.jpeg,colon_aca,colon,6,6
colonca1056,colonca1056.jpeg,colon_aca,colon,6,6
colonca111,colonca111.jpeg,colon_aca,colon,6,6
colonca1351,colonca1351.jpeg,colon_aca,colon,6,6
colonca1659,colonca1659.jpeg,colon_aca,colon,6,6
colonca2133,colonca2133.jpeg,colon_aca,colon,6,6
colonca228,colonca228.jpeg,colon_aca,colon,6,6
colonca2785,colonca2785.jpeg,colon_aca,colon,6,6
colonca3245,colonca3245.jpeg,colon_aca,colon,6,6
colonca3486,colonca3486.jpeg,colon_aca,colon,6,6
colonca351,colonca351.jpeg,colon_aca,colon,6,6
colonca3898,colonca3898.jpeg,colon_aca,colon,6,6
colonca4078,colonca4078.jpeg,colon_aca,colon,6,6
colonca4185,colonca4185.jpeg,colon_aca,colon,6,6
colonca4186,colonca4186.jpeg,colon_aca,colon,6,6
colonca4246,colonca4246.jpeg,colon_aca,colon,6,6
colonca4477,colonca4477.jpeg,colon_aca,colon,6,6
colonca4721,colonca4721.jpeg,colon_aca,colon,6,6
colonca588,colonca588.jpeg,colon_aca,colon,6,6
colonca1449,colonca1449.jpeg,colon_aca,colon,7,7
colonca2167,colonca2167.jpeg,colon_aca,colon,7,7
colonca2340,colonca2340.jpeg,colon_aca,colon,7,7
colonca2524,colonca2524.jpeg,colon_aca,colon,7,7
colonca2878,colonca2878.jpeg,colon_aca,colon,7,7
colonca2994,colonca2994.jpeg,colon_aca,colon,7,7
colonca35,colonca35.jpeg,colon_aca,colon,7,7
colonca3529,colonca3529.jpeg,colon_aca,colon,7,7
colonca3530,colonca3530.jpeg,colon_aca,colon,7,7
colonca3636,colonca3636.jpeg,colon_aca,colon,7,7
colonca3637,colonca3637.jpeg,colon_aca,colon,7,7
colonca390,colonca390.jpeg,colon_aca,colon,7,7
colonca4107,colonca4107.jpeg,colon_aca,colon,7,7
colonca4108,colonca4108.jpeg,colon_aca,colon,7,7
colonca4231,colonca4231.jpeg,colon_aca,colon,7,7
colonca4572,colonca4572.jpeg,colon_aca,colon,7,7
colonca4814,colonca4814.jpeg,colon_aca,colon,7,7
colonca567,colonca567.jpeg,colon_aca,colon,7,7
colonca683,colonca683.jpeg,colon_aca,colon,7,7
colonca807,colonca807.jpeg,colon_aca,colon,7,7
colonca1069,colonca1069.jpeg,colon_aca,colon,8,8
colonca1129,colonca1129.jpeg,colon_aca,colon,8,8
colonca1486,colonca1486.jpeg,colon_aca,colon,8,8
colonca1611,colonca1611.jpeg,colon_aca,colon,8,8
colonca1612,colonca1612.jpeg,colon_aca,colon,8,8
colonca1725,colonca1725.jpeg,colon_aca,colon,8,8
colonca2493,colonca2493.jpeg,colon_aca,colon,8,8
colonca2675,colonca2675.jpeg,colon_aca,colon,8,8
colonca3141,colonca3141.jpeg,colon_aca,colon,8,8
colonca3195,colonca3195.jpeg,colon_aca,colon,8,8
colonca3373,colonca3373.jpeg,colon_aca,colon,8,8
colonca3374,colonca3374.jpeg,colon_aca,colon,8,8
colonca4490,colonca4490.jpeg,colon_aca,colon,8,8
colonca4491,colonca4491.jpeg,colon_aca,colon,8,8
colonca4733,colonca4733.jpeg,colon_aca,colon,8,8
colonca476,colonca476.jpeg,colon_aca,colon,8,8
colonca4854,colonca4854.jpeg,colon_aca,colon,8,8
colonca4906,colonca4906.jpeg,colon_aca,colon,8,8
colonca4971,colonca4971.jpeg,colon_aca,colon,8,8
colonca784,colonca784.jpeg,colon_aca,colon,8,8
colonca1009,colonca1009.jpeg,colon_aca,colon,9,9
colonca1188,colonca1188.jpeg,colon_aca,colon,9,9
colonca2374,colonca2374.jpeg,colon_aca,colon,9,9
colonca2430,colonca2430.jpeg,colon_aca,colon,9,9
colonca294,colonca294.jpeg,colon_aca,colon,9,9
colonca2952,colonca2952.jpeg,colon_aca,colon,9,9
colonca3247,colonca3247.jpeg,colon_aca,colon,9,9
colonca3248,colonca3248.jpeg,colon_aca,colon,9,9
colonca3550,colonca3550.jpeg,colon_aca,colon,9,9
colonca3722,colonca3722.jpeg,colon_aca,colon,9,9
colonca3723,colonca3723.jpeg,colon_aca,colon,9,9
colonca3724,colonca3724.jpeg,colon_aca,colon,9,9
colonca4132,colonca4132.jpeg,colon_aca,colon,9,9
colonca467,colonca467.jpeg,colon_aca,colon,9,9
colonca4725,colonca4725.jpeg,colon_aca,colon,9,9
colonca4848,colonca4848.jpeg,colon_aca,colon,9,9
colonca1275,colonca1275.jpeg,colon_aca,colon,10,10
colonca1505,colonca1505.jpeg,colon_aca,colon,10,10
colonca1566,colonca1566.jpeg,colon_aca,colon,10,10
colonca1636,colonca1636.jpeg,colon_aca,colon,10,10
colonca2,colonca2.jpeg,colon_aca,colon,10,10
colonca2051,colonca2051.jpeg,colon_aca,colon,10,10
colonca2572,colonca2572.jpeg,colon_aca,colon,10,10
colonca2573,colonca2573.jpeg,colon_aca,colon,10,10
colonca3694,colonca3694.jpeg,colon_aca,colon,10,10
colonca3695,colonca3695.jpeg,colon_aca,colon,10,10
colonca4106,colonca4106.jpeg,colon_aca,colon,10,10
colonca4343,colonca4343.jpeg,colon_aca,colon,10,10
colonca4464,colonca4464.jpeg,colon_aca,colon,10,10
colonca4568,colonca4568.jpeg,colon_aca,colon,10,10
colonca4627,colonca4627.jpeg,colon_aca,colon,10,10
colonca4689,colonca4689.jpeg,colon_aca,colon,10,10
colonca4690,colonca4690.jpeg,colon_aca,colon,10,10
colonca4691,colonca4691.jpeg,colon_aca,colon,10,10
colonca4808,colonca4808.jpeg,colon_aca,colon,10,10
colonca4809,colonca4809.jpeg,colon_aca,colon,10,10
colonca4922,colonca4922.jpeg,colon_aca,colon,10,10
colonca680,colonca680.jpeg,colon_aca,colon,10,10
colonca913,colonca913.jpeg,colon_aca,colon,10,10
colonca914,colonca914.jpeg,colon_aca,colon,10,10
colonca915,colonca915.jpeg,colon_aca,colon,10,10
colonca1062,colonca1062.jpeg,colon_aca,colon,11,11
colonca1187,colonca1187.jpeg,colon_aca,colon,11,11
colonca1604,colonca1604.jpeg,colon_aca,colon,11,11
colonca1664,colonca1664.jpeg,colon_aca,colon,11,11
colonca1785,colonca1785.jpeg,colon_aca,colon,11,11
colonca1959,colonca1959.jpeg,colon_aca,colon,11,11
colonca2013,colonca2013.jpeg,colon_aca,colon,11,11
colonca2014,colonca2014.jpeg,colon_aca,colon,11,11
colonca2186,colonca2186.jpeg,colon_aca,colon,11,11
colonca2247,colonca2247.jpeg,colon_aca,colon,11,11
colonca2373,colonca2373.jpeg,colon_aca,colon,11,11
colonca2429,colonca2429.jpeg,colon_aca,colon,11,11
colonca2601,colonca2601.jpeg,colon_aca,colon,11,11
colonca2729,colonca2729.jpeg,colon_aca,colon,11,11
colonca2788,colonca2788.jpeg,colon_aca,colon,11,11
colonca3080,colonca3080.jpeg,colon_aca,colon,11,11
colonca3363,colonca3363.jpeg,colon_aca,colon,11,11
colonca3428,colonca3428.jpeg,colon_aca,colon,11,11
colonca3489,colonca3489.jpeg,colon_aca,colon,11,11
colonca3490,colonca3490.jpeg,colon_aca,colon,11,11
colonca3780,colonca3780.jpeg,colon_aca,colon,11,11
colonca3838,colonca3838.jpeg,colon_aca,colon,11,11
colonca3839,colonca3839.jpeg,colon_aca,colon,11,11
colonca412,colonca412.jpeg,colon_aca,colon,11,11
colonca4131,colonca4131.jpeg,colon_aca,colon,11,11
colonca4320,colonca4320.jpeg,colon_aca,colon,11,11
colonca4548,colonca4548.jpeg,colon_aca,colon,11,11
colonca466,colonca466.jpeg,colon_aca,colon,11,11
colonca4847,colonca4847.jpeg,colon_aca,colon,11,11
colonca4958,colonca4958.jpeg,colon_aca,colon,11,11
colonca595,colonca595.jpeg,colon_aca,colon,11,11
colonca944,colonca944.jpeg,colon_aca,colon,11,11
colonca1032,colonca1032.jpeg,colon_aca,colon,12,12
colonca1267,colonca1267.jpeg,colon_aca,colon,12,12
colonca2101,colonca2101.jpeg,colon_aca,colon,12,12
colonca2394,colonca2394.jpeg,colon_aca,colon,12,12
colonca2566,colonca2566.jpeg,colon_aca,colon,12,12
colonca2690,colonca2690.jpeg,colon_aca,colon,12,12
colonca3209,colonca3209.jpeg,colon_aca,colon,12,12
colonca3335,colonca3335.jpeg,colon_aca,colon,12,12
colonca3981,colonca3981.jpeg,colon_aca,colon,12,12
colonca4099,colonca4099.jpeg,colon_aca,colon,12,12
colonca4100,colonca4100.jpeg,colon_aca,colon,12,12
colonca4210,colonca4210.jpeg,colon_aca,colon,12,12
colonca4211,colonca4211.jpeg,colon_aca,colon,12,12
colonca4280,colonca4280.jpeg,colon_aca,colon,12,12
colonca4281,colonca4281.jpeg,colon_aca,colon,12,12
colonca431,colonca431.jpeg,colon_aca,colon,12,12
colonca432,colonca432.jpeg,colon_aca,colon,12,12
colonca4390,colonca4390.jpeg,colon_aca,colon,12,12
colonca4391,colonca4391.jpeg,colon_aca,colon,12,12
colonca4458,colonca4458.jpeg,colon_aca,colon,12,12
colonca488,colonca488.jpeg,colon_aca,colon,12,12
colonca613,colonca613.jpeg,colon_aca,colon,12,12
colonca82,colonca82.jpeg,colon_aca,colon,12,12
colonca1504,colonca1504.jpeg,colon_aca,colon,13,13
colonca2402,colonca2402.jpeg,colon_aca,colon,13,13
colonca2453,colonca2453.jpeg,colon_aca,colon,13,13
colonca2454,colonca2454.jpeg,colon_aca,colon,13,13
colonca258,colonca258.jpeg,colon_aca,colon,13,13
colonca2636,colonca2636.jpeg,colon_aca,colon,13,13
colonca2925,colonca2925.jpeg,colon_aca,colon,13,13
colonca2986,colonca2986.jpeg,colon_aca,colon,13,13
colonca3105,colonca3105.jpeg,colon_aca,colon,13,13
colonca321,colonca321.jpeg,colon_aca,colon,13,13
colonca322,colonca322.jpeg,colon_aca,colon,13,13
colonca323,colonca323.jpeg,colon_aca,colon,13,13
colonca3515,colonca3515.jpeg,colon_aca,colon,13,13
colonca3813,colonca3813.jpeg,colon_aca,colon,13,13
colonca3814,colonca3814.jpeg,colon_aca,colon,13,13
colonca386,colonca386.jpeg,colon_aca,colon,13,13
colonca4048,colonca4048.jpeg,colon_aca,colon,13,13
colonca4920,colonca4920.jpeg,colon_aca,colon,13,13
colonca678,colonca678.jpeg,colon_aca,colon,13,13
colonca127,colonca127.jpeg,colon_aca,colon,14,14
colonca1546,colonca1546.jpeg,colon_aca,colon,14,14
colonca2206,colonca2206.jpeg,colon_aca,colon,14,14
colonca2265,colonca2265.jpeg,colon_aca,colon,14,14
colonca2315,colonca2315.jpeg,colon_aca,colon,14,14
colonca2613,colonca2613.jpeg,colon_aca,colon,14,14
colonca2738,colonca2738.jpeg,colon_aca,colon,14,14
colonca2855,colonca2855.jpeg,colon_aca,colon,14,14
colonca2911,colonca2911.jpeg,colon_aca,colon,14,14
colonca3198,colonca3198.jpeg,colon_aca,colon,14,14
colonca3441,colonca3441.jpeg,colon_aca,colon,14,14
colonca3740,colonca3740.jpeg,colon_aca,colon,14,14
colonca4033,colonca4033.jpeg,colon_aca,colon,14,14
colonca4148,colonca4148.jpeg,colon_aca,colon,14,14
colonca4560,colonca4560.jpeg,colon_aca,colon,14,14
colonca4734,colonca4734.jpeg,colon_aca,colon,14,14
colonca545,colonca545.jpeg,colon_aca,colon,14,14
colonca658,colonca658.jpeg,colon_aca,colon,14,14
colonca659,colonca659.jpeg,colon_aca,colon,14,14
colonca725,colonca725.jpeg,colon_aca,colon,14,14
colonca1035,colonca1035.jpeg,colon_aca,colon,15,15
colonca1147,colonca1147.jpeg,colon_aca,colon,15,15
colonca1442,colonca1442.jpeg,colon_aca,colon,15,15
colonca1631,colonca1631.jpeg,colon_aca,colon,15,15
colonca1857,colonca1857.jpeg,colon_aca,colon,15,15
colonca2047,colonca2047.jpeg,colon_aca,colon,15,15
colonca2161,colonca2161.jpeg,colon_aca,colon,15,15
colonca2333,colonca2333.jpeg,colon_aca,colon,15,15
colonca3215,colonca3215.jpeg,colon_aca,colon,15,15
colonca3273,colonca3273.jpeg,colon_aca,colon,15,15
colonca4163,colonca4163.jpeg,colon_aca,colon,15,15
colonca4164,colonca4164.jpeg,colon_aca,colon,15,15
colonca4864,colonca4864.jpeg,colon_aca,colon,15,15
colonca750,colonca750.jpeg,colon_aca,colon,15,15
colonca858,colonca858.jpeg,colon_aca,colon,15,15
colonca1162,colonca1162.jpeg,colon_aca,colon,16,16
colonca156,colonca156.jpeg,colon_aca,colon,16,16
colonca213,colonca213.jpeg,colon_aca,colon,16,16
colonca2473,colonca2473.jpeg,colon_aca,colon,16,16
colonca2474,colonca2474.jpeg,colon_aca,colon,16,16
colonca2591,colonca2591.jpeg,colon_aca,colon,16,16
colonca2771,colonca2771.jpeg,colon_aca,colon,16,16
colonca2832,colonca2832.jpeg,colon_aca,colon,16,16
colonca2833,colonca2833.jpeg,colon_aca,colon,16,16
colonca3595,colonca3595.jpeg,colon_aca,colon,16,16
colonca4472,colonca4472.jpeg,colon_aca,colon,16,16
colonca4584,colonca4584.jpeg,colon_aca,colon,16,16
colonca816,colonca816.jpeg,colon_aca,colon,16,16
colonca817,colonca817.jpeg,colon_aca,colon,16,16
colonca1017,colonca1017.jpeg,colon_aca,colon,17,17
colonca1248,colonca1248.jpeg,colon_aca,colon,17,17
colonca1424,colonca1424.jpeg,colon_aca,colon,17,17
colonca1965,colonca1965.jpeg,colon_aca,colon,17,17
colonca2196,colonca2196.jpeg,colon_aca,colon,17,17
colonca2256,colonca2256.jpeg,colon_aca,colon,17,17
colonca2731,colonca2731.jpeg,colon_aca,colon,17,17
colonca302,colonca302.jpeg,colon_aca,colon,17,17
colonca3023,colonca3023.jpeg,colon_aca,colon,17,17
colonca3253,colonca3253.jpeg,colon_aca,colon,17,17
colonca3434,colonca3434.jpeg,colon_aca,colon,17,17
colonca3494,colonca3494.jpeg,colon_aca,colon,17,17
colonca3673,colonca3673.jpeg,colon_aca,colon,17,17
colonca3731,colonca3731.jpeg,colon_aca,colon,17,17
colonca3732,colonca3732.jpeg,colon_aca,colon,17,17
colonca418,colonca418.jpeg,colon_aca,colon,17,17
colonca4257,colonca4257.jpeg,colon_aca,colon,17,17
colonca4258,colonca4258.jpeg,colon_aca,colon,17,17
colonca4609,colonca4609.jpeg,colon_aca,colon,17,17
colonca4730,colonca4730.jpeg,colon_aca,colon,17,17
colonca4731,colonca4731.jpeg,colon_aca,colon,17,17
colonca59,colonca59.jpeg,colon_aca,colon,17,17
colonca895,colonca895.jpeg,colon_aca,colon,17,17
colonca1353,colonca1353.jpeg,colon_aca,colon,18,18
colonca1415,colonca1415.jpeg,colon_aca,colon,18,18
colonca167,colonca167.jpeg,colon_aca,colon,18,18
colonca1718,colonca1718.jpeg,colon_aca,colon,18,18
colonca2010,colonca2010.jpeg,colon_aca,colon,18,18
colonca2138,colonca2138.jpeg,colon_aca,colon,18,18
colonca2139,colonca2139.jpeg,colon_aca,colon,18,18
colonca233,colonca233.jpeg,colon_aca,colon,18,18
colonca2372,colonca2372.jpeg,colon_aca,colon,18,18
colonca2486,colonca2486.jpeg,colon_aca,colon,18,18
colonca3667,colonca3667.jpeg,colon_aca,colon,18,18
colonca3962,colonca3962.jpeg,colon_aca,colon,18,18
colonca4248,colonca4248.jpeg,colon_aca,colon,18,18
colonca4249,colonca4249.jpeg,colon_aca,colon,18,18
colonca4597,colonca4597.jpeg,colon_aca,colon,18,18
colonca4598,colonca4598.jpeg,colon_aca,colon,18,18
colonca4658,colonca4658.jpeg,colon_aca,colon,18,18
colonca4845,colonca4845.jpeg,colon_aca,colon,18,18
colonca4957,colonca4957.jpeg,colon_aca,colon,18,18
colonca4995,colonca4995.jpeg,colon_aca,colon,18,18
colonca55,colonca55.jpeg,colon_aca,colon,18,18
colonca593,colonca593.jpeg,colon_aca,colon,18,18
colonca709,colonca709.jpeg,colon_aca,colon,18,18
colonca1083,colonca1083.jpeg,colon_aca,colon,19,19
colonca2214,colonca2214.jpeg,colon_aca,colon,19,19
colonca2920,colonca2920.jpeg,colon_aca,colon,19,19
colonca2921,colonca2921.jpeg,colon_aca,colon,19,19
colonca3753,colonca3753.jpeg,colon_aca,colon,19,19
colonca380,colonca380.jpeg,colon_aca,colon,19,19
colonca4683,colonca4683.jpeg,colon_aca,colon,19,19
colonca4862,colonca4862.jpeg,colon_aca,colon,19,19
colonca4918,colonca4918.jpeg,colon_aca,colon,19,19
colonca557,colonca557.jpeg,colon_aca,colon,19,19
colonca743,colonca743.jpeg,colon_aca,colon,19,19
colonca1145,colonca1145.jpeg,colon_aca,colon,20,20
colonca1439,colonca1439.jpeg,colon_aca,colon,20,20
colonca1440,colonca1440.jpeg,colon_aca,colon,20,20
colonca1747,colonca1747.jpeg,colon_aca,colon,20,20
colonca1918,colonca1918.jpeg,colon_aca,colon,20,20
colonca2568,colonca2568.jpeg,colon_aca,colon,20,20
colonca2695,colonca2695.jpeg,colon_aca,colon,20,20
colonca2813,colonca2813.jpeg,colon_aca,colon,20,20
colonca3211,colonca3211.jpeg,colon_aca,colon,20,20
colonca3270,colonca3270.jpeg,colon_aca,colon,20,20
colonca3271,colonca3271.jpeg,colon_aca,colon,20,20
colonca3272,colonca3272.jpeg,colon_aca,colon,20,20
colonca3337,colonca3337.jpeg,colon_aca,colon,20,20
colonca3393,colonca3393.jpeg,colon_aca,colon,20,20
colonca3394,colonca3394.jpeg,colon_aca,colon,20,20
colonca3454,colonca3454.jpeg,colon_aca,colon,20,20
colonca3811,colonca3811.jpeg,colon_aca,colon,20,20
colonca4103,colonca4103.jpeg,colon_aca,colon,20,20
colonca4104,colonca4104.jpeg,colon_aca,colon,20,20
colonca4159,colonca4159.jpeg,colon_aca,colon,20,20
colonca4461,colonca4461.jpeg,colon_aca,colon,20,20
colonca4743,colonca4743.jpeg,colon_aca,colon,20,20
colonca4919,colonca4919.jpeg,colon_aca,colon,20,20
colonca493,colonca493.jpeg,colon_aca,colon,20,20
colonca559,colonca559.jpeg,colon_aca,colon,20,20
colonca745,colonca745.jpeg,colon_aca,colon,20,20
colonca746,colonca746.jpeg,colon_aca,colon,20,20
colonca799,colonca799.jpeg,colon_aca,colon,20,20
colonca909,colonca909.jpeg,colon_aca,colon,20,20
colonca1,colonca1.jpeg,colon_aca,colon,21,21
colonca1140,colonca1140.jpeg,colon_aca,colon,21,21
colonca1202,colonca1202.jpeg,colon_aca,colon,21,21
colonca1852,colonca1852.jpeg,colon_aca,colon,21,21
colonca2035,colonca2035.jpeg,colon_aca,colon,21,21
colonca2157,colonca2157.jpeg,colon_aca,colon,21,21
colonca2211,colonca2211.jpeg,colon_aca,colon,21,21
colonca249,colonca249.jpeg,colon_aca,colon,21,21
colonca2506,colonca2506.jpeg,colon_aca,colon,21,21
colonca2688,colonca2688.jpeg,colon_aca,colon,21,21
colonca2864,colonca2864.jpeg,colon_aca,colon,21,21
colonca3037,colonca3037.jpeg,colon_aca,colon,21,21
colonca3205,colonca3205.jpeg,colon_aca,colon,21,21
colonca3385,colonca3385.jpeg,colon_aca,colon,21,21
colonca374,colonca374.jpeg,colon_aca,colon,21,21
colonca375,colonca375.jpeg,colon_aca,colon,21,21
colonca4096,colonca4096.jpeg,colon_aca,colon,21,21
colonca4207,colonca4207.jpeg,colon_aca,colon,21,21
colonca4272,colonca4272.jpeg,colon_aca,colon,21,21
colonca4273,colonca4273.jpeg,colon_aca,colon,21,21
colonca4274,colonca4274.jpeg,colon_aca,colon,21,21
colonca4387,colonca4387.jpeg,colon_aca,colon,21,21
colonca4565,colonca4565.jpeg,colon_aca,colon,21,21
colonca4680,colonca4680.jpeg,colon_aca,colon,21,21
colonca4914,colonca4914.jpeg,colon_aca,colon,21,21
colonca554,colonca554.jpeg,colon_aca,colon,21,21
